time,active_elements,nozzle_x,nozzle_z,layer,progress
0.10000000000000007,9,4.5000000000000036,0.0,0,0.0012095961292923868
0.20000000000000015,18,9.000000000000007,0.0,0,0.0024191922585847735
0.3000000000000002,27,13.500000000000009,0.0,0,0.0036287883878771605
0.4000000000000003,36,18.000000000000014,0.0,0,0.004838384517169547
0.5000000000000003,45,22.500000000000018,0.0,0,0.006047980646461934
0.6000000000000004,54,27.000000000000018,0.0,0,0.007257576775754321
0.7000000000000005,63,31.50000000000002,0.0,0,0.008467172905046708
0.8000000000000006,72,36.00000000000003,0.0,0,0.009676769034339094
0.9000000000000007,81,40.50000000000003,0.0,0,0.010886365163631482
1.0010000000000006,90,45.04500000000003,0.0,0,0.01210805725421679
1.1019999999999894,99,49.58999999999952,0.0,0,0.013329749344801965
1.2029999999999783,108,54.13499999999902,0.0,0,0.01455144143538714
1.3039999999999672,117,58.67999999999852,0.0,0,0.015773133525972316
1.404999999999956,126,63.22499999999802,0.0,0,0.01699482561655749
1.505999999999945,136,67.76999999999752,0.0,0,0.018216517707142665
1.6069999999999338,140,69.75,0.10259999999988074,0,0.01943820979772784
1.7079999999999227,145,67.64000000000348,0.2,1,0.020659901888313015
1.8089999999999116,154,63.09500000000399,0.2,1,0.021881593978898193
1.9099999999999004,163,58.55000000000449,0.2,1,0.023103286069483368
2.0109999999998895,172,54.00500000000497,0.2,1,0.024324978160068546
2.1119999999998784,181,49.46000000000547,0.2,1,0.02554667025065372
2.2129999999998673,190,44.915000000005975,0.2,1,0.026768362341238895
2.313999999999856,199,40.370000000006485,0.2,1,0.02799005443182407
2.414999999999845,208,35.82500000000699,0.2,1,0.029211746522409245
2.515999999999834,217,31.280000000007472,0.2,1,0.03043343861299442
2.616999999999823,227,26.735000000007975,0.2,1,0.031655130703579594
2.7179999999998117,236,22.190000000008478,0.2,1,0.03287682279416477
2.8189999999998006,245,17.645000000008984,0.2,1,0.03409851488474994
2.9199999999997894,254,13.100000000009489,0.2,1,0.035320206975335125
3.0209999999997783,263,8.555000000009972,0.2,1,0.0365418990659203
3.121999999999767,272,4.010000000010478,0.2,1,0.037763591156505474
3.222999999999756,280,0.25,0.23139999999956062,1,0.03898528324709065
3.323999999999745,281,0.5799999999885139,0.4,2,0.040206975337675824
3.424999999999734,290,5.12499999998801,0.4,2,0.041428667428261
3.5259999999997227,299,9.669999999987505,0.4,2,0.04265035951884617
3.6269999999997116,308,14.214999999987,0.4,2,0.04387205160943135
3.7279999999997004,318,18.759999999986515,0.4,2,0.04509374370001652
3.8289999999996893,327,23.304999999986013,0.4,2,0.0463154357906017
3.929999999999678,336,27.849999999985506,0.4,2,0.04753712788118687
4.0299999999996805,345,32.34999999998563,0.4,2,0.04874672401047929
4.129999999999714,354,36.849999999987105,0.4,2,0.04995632013977208
4.229999999999747,363,41.349999999988626,0.4,2,0.051165916269064866
4.329999999999781,372,45.849999999990146,0.4,2,0.05237551239835766
4.429999999999814,381,50.349999999991624,0.4,2,0.05358510852765045
4.5299999999998475,390,54.8499999999931,0.4,2,0.054794704656943236
4.629999999999881,399,59.34999999999462,0.4,2,0.05600430078623603
4.729999999999914,408,63.849999999996136,0.4,2,0.05721389691552882
4.829999999999948,417,68.34999999999766,0.4,2,0.058423493044821605
4.929999999999981,420,69.75,0.5239999999999655,2,0.0596330891741144
5.0300000000000145,426,67.14999999999934,0.6000000000000001,3,0.06084268530340719
5.130000000000048,435,62.64999999999787,0.6000000000000001,3,0.062052281432699974
5.230000000000081,444,58.149999999996346,0.6000000000000001,3,0.06326187756199277
5.330000000000115,453,53.649999999994826,0.6000000000000001,3,0.06447147369128556
5.430000000000148,462,49.14999999999335,0.6000000000000001,3,0.06568106982057835
5.530000000000181,471,44.64999999999183,0.6000000000000001,3,0.06689066594987114
5.630000000000215,480,40.14999999999035,0.6000000000000001,3,0.06810026207916392
5.730000000000248,489,35.649999999988836,0.6000000000000001,3,0.06930985820845671
5.830000000000282,498,31.149999999987315,0.6000000000000001,3,0.0705194543377495
5.930000000000315,507,26.649999999985834,0.6000000000000001,3,0.0717290504670423
6.030000000000348,516,22.149999999984317,0.6000000000000001,3,0.07293864659633509
6.130000000000382,525,17.64999999998284,0.6000000000000001,3,0.07414824272562788
6.230000000000415,534,13.149999999981318,0.6000000000000001,3,0.07535783885492066
6.330000000000449,543,8.6499999999798,0.6000000000000001,3,0.07656743498421345
6.430000000000482,552,4.149999999978322,0.6000000000000001,3,0.07777703111350624
6.530000000000515,560,0.25,0.624000000000928,3,0.07898662724279903
6.630000000000549,561,0.3500000000247162,0.8,4,0.08019622337209183
6.730000000000582,570,4.850000000026235,0.8,4,0.08140581950138462
6.830000000000616,579,9.350000000027714,0.8,4,0.08261541563067741
6.930000000000649,588,13.850000000029233,0.8,4,0.08382501175997019
7.030000000000682,597,18.35000000003071,0.8,4,0.08503460788926298
7.130000000000716,606,22.85000000003223,0.8,4,0.08624420401855577
7.230000000000749,615,27.35000000003371,0.8,4,0.08745380014784856
7.330000000000783,624,31.850000000035227,0.8,4,0.08866339627714136
7.430000000000816,633,36.350000000036744,0.8,4,0.08987299240643415
7.530000000000849,642,40.85000000003823,0.8,4,0.09108258853572693
7.630000000000883,651,45.35000000003974,0.8,4,0.09229218466501972
7.730000000000916,660,49.85000000004122,0.8,4,0.09350178079431251
7.8300000000009495,669,54.35000000004274,0.8,4,0.0947113769236053
7.930000000000983,678,58.85000000004426,0.8,4,0.0959209730528981
8.030000000000989,687,63.35000000004454,0.8,4,0.09713056918219055
